"FID_DeerRa","COUNTY_NAM","Shape_Leng","Shape_Area","FID_dmu_20","DEER_MGMT_","AREA","LEN","DMUArea","AREA_SQM"
7,"Burnett",4049341.22307,1974778197.74,139,"15",1313744689.72,161916.866192,1313.74468972,120.228148032
7,"Burnett",4049341.22307,1974778197.74,149,"10",1002440309.17,205222.596365,1002.44030917,278.041179639
7,"Burnett",4049341.22307,1974778197.74,152,"11",1013752111.59,140598.632276,1013.75211159,200.578321132
7,"Burnett",4049341.22307,1974778197.74,158,"8",1030405402.46,153982.819449,1030.40540246,101.250933588
8,"Calumet",1276602.85896,177572197.146,38,"69",2627815138.36,226892.186357,2627.81513836,10.3726097033
8,"Calumet",1276602.85896,177572197.146,48,"W",534171891.276,138787.881937,534.171891276,0.0846907666068
8,"Calumet",1276602.85896,177572197.146,51,"64",2473880266.9,237296.740017,2473.8802669,57.1630535855
8,"Calumet",1276602.85896,177572197.146,70,"63B",1855332203.13,270687.694306,1855.33220313,0.940654572237
9,"Chippewa",7886917.55977,1724383618.6,74,"58",1768649541.81,179674.73303,1768.64954181,36.36212314
9,"Chippewa",7886917.55977,1724383618.6,76,"59E",4235866.10538,12206.3886193,4.23586610538,1.55765109105
9,"Chippewa",7886917.55977,1724383618.6,80,"59B",2946505599.75,244426.523505,2946.50559975,69.8043889381
9,"Chippewa",7886917.55977,1724383618.6,87,"59A",2182568875.66,265204.699788,2182.56887566,270.802787363
9,"Chippewa",7886917.55977,1724383618.6,98,"23A",6353314.74859,15315.0314512,6.35331474859,1.45780132178
9,"Chippewa",7886917.55977,1724383618.6,110,"22A",1307108897.24,183231.136635,1307.10889724,43.8899841298
9,"Chippewa",7886917.55977,1724383618.6,125,"23",1342333925.69,175095.967516,1342.33392569,171.745742336
9,"Chippewa",7886917.55977,1724383618.6,128,"24",881978579.927,126658.217422,881.978579927,70.1677590575
10,"Clark",7400022.9875,1936691874.9,52,"56",954930917.441,176532.544883,954.930917441,3.73220507777
10,"Clark",7400022.9875,1936691874.9,55,"55",1753386503.88,192265.003784,1753.38650388,177.895445429
10,"Clark",7400022.9875,1936691874.9,56,"59C",2211316878.01,240751.670185,2211.31687801,3.11003134628
10,"Clark",7400022.9875,1936691874.9,65,"57B",1204391636.48,162392.467226,1204.39163648,115.847020111
10,"Clark",7400022.9875,1936691874.9,74,"58",1768649541.81,179674.73303,1768.64954181,289.980828256
10,"Clark",7400022.9875,1936691874.9,84,"27",1269209432.91,165722.858676,1269.20943291,145.035875174
10,"Clark",7400022.9875,1936691874.9,87,"59A",2182568875.66,265204.699788,2182.56887566,12.159508032
11,"Columbia",5205603.56722,961401294.363,18,"76-CWD",2348901475.13,413916.927666,2348.90147513,0.0113975499849
11,"Columbia",5205603.56722,961401294.363,20,"76A-CWD",2412888729.76,214812.60301,2412.88872976,0.00387564459234
11,"Columbia",5205603.56722,961401294.363,25,"70G-CWD",918689324.138,127782.315523,918.689324138,120.329840149
11,"Columbia",5205603.56722,961401294.363,26,"70B-CWD",1000477072.2,176238.141399,1000.4770722,128.052532674
11,"Columbia",5205603.56722,961401294.363,27,"68B",1610783608.69,183473.25098,1610.78360869,0.737234282282
11,"Columbia",5205603.56722,961401294.363,29,"70E-CWD",266272265.836,85489.4250943,266.272265836,55.3685151726
11,"Columbia",5205603.56722,961401294.363,33,"54C",369123185.482,96231.3603591,369.123185482,1.78803015229
11,"Columbia",5205603.56722,961401294.363,36,"54B",705992635.537,172630.495812,705.992635537,0.000683002254045
11,"Columbia",5205603.56722,961401294.363,39,"68A",1476118162.41,188839.554721,1476.11816241,0.000639431060663
11,"Columbia",5205603.56722,961401294.363,42,"67B",819352950.536,191136.937031,819.352950536,21.1082876737
11,"Columbia",5205603.56722,961401294.363,43,"67A",1247284290,181972.876692,1247.28429,43.7980792376
12,"Crawford",4323581.91309,1178814390.46,13,"73D",643929128.326,160997.007281,643.929128326,0.0103836628867
12,"Crawford",4323581.91309,1178814390.46,24,"74B",1553921317.23,191416.301685,1553.92131723,397.421485871
12,"Crawford",4323581.91309,1178814390.46,28,"71-CWD",2311267022.23,238075.732885,2311.26702223,57.7091425921
12,"Crawford",4323581.91309,1178814390.46,34,"74A",828378052.66,146515.269582,828.37805266,0.00176861205229
13,"Dane",7672068.87601,1110436976.41,3,"77A-CWD",1923118178.92,207951.922555,1923.11817892,0.0227263147909
13,"Dane",7672068.87601,1110436976.41,4,"75A-CWD",1465014394.3,192315.53722,1465.0143943,0.861235645167
13,"Dane",7672068.87601,1110436976.41,9,"75C-CWD",970350942.457,149712.62013,970.350942457,14.9415910106
13,"Dane",7672068.87601,1110436976.41,10,"70D-CWD",5282113.59183,10739.8001188,5.28211359183,0.251198177873
13,"Dane",7672068.87601,1110436976.41,14,"76M-CWD",712884684.238,131610.280826,712.884684238,78.2528134133
13,"Dane",7672068.87601,1110436976.41,17,"70A-CWD",730715107.518,178896.500598,730.715107518,55.9122068934
13,"Dane",7672068.87601,1110436976.41,18,"76-CWD",2348901475.13,413916.927666,2348.90147513,252.977547879
13,"Dane",7672068.87601,1110436976.41,20,"76A-CWD",2412888729.76,214812.60301,2412.88872976,25.1131622115
13,"Dane",7672068.87601,1110436976.41,22,"70-CWD",1067610901.85,155259.146719,1067.61090185,0.361279709093
13,"Dane",7672068.87601,1110436976.41,25,"70G-CWD",918689324.138,127782.315523,918.689324138,0.0120409791222
13,"Dane",7672068.87601,1110436976.41,26,"70B-CWD",1000477072.2,176238.141399,1000.4770722,0.0363112086145
14,"Dodge",6231246.19328,706440860.039,19,"77C",868283033.032,145953.186701,868.283033032,16.2129695612
14,"Dodge",6231246.19328,706440860.039,20,"76A-CWD",2412888729.76,214812.60301,2412.88872976,74.0604363599
14,"Dodge",6231246.19328,706440860.039,25,"70G-CWD",918689324.138,127782.315523,918.689324138,1.41342044424
14,"Dodge",6231246.19328,706440860.039,27,"68B",1610783608.69,183473.25098,1610.78360869,172.018368874
14,"Dodge",6231246.19328,706440860.039,38,"69",2627815138.36,226892.186357,2627.81513836,8.37775796996
14,"Dodge",6231246.19328,706440860.039,39,"68A",1476118162.41,188839.554721,1476.11816241,0.675387666874
15,"Door",3308852.06434,704952419.247,71,"80B",1470860036.43,195330.158989,1470.86003643,92.6775680635
15,"Door",3308852.06434,704952419.247,97,"82",135436.474101,1528.81784164,0.135436474101,0.0336360312952
15,"Door",3308852.06434,704952419.247,102,"80C",14652892.73,18177.8564644,14.65289273,5.42101082638
15,"Door",3308852.06434,704952419.247,104,"82",113608.830767,1469.61868758,0.113608830767,0.039403148077
15,"Door",3308852.06434,704952419.247,105,"82",11471646.9448,18305.8354605,11.4716469447,3.77877924705
15,"Door",3308852.06434,704952419.247,112,"80A",652015025.192,203397.924327,652.015025192,151.807392129
15,"Door",3308852.06434,704952419.247,113,"81",1203387.44591,4487.81773753,1.20338744591,0.431007163032
15,"Door",3308852.06434,704952419.247,115,"81",2580070.64007,14868.4314213,2.58007064006,0.860636333423
15,"Door",3308852.06434,704952419.247,117,"81",45786.5655098,777.923394032,0.0457865655098,0.00735337804018
15,"Door",3308852.06434,704952419.247,124,"81",58454666.8301,48014.5250066,58.4546668301,15.2746055688
15,"Door",3308852.06434,704952419.247,126,"81",3947977.07747,9298.05933233,3.94797707747,1.39222110666
16,"Douglas",4119664.31782,3206691724.77,158,"8",1030405402.46,153982.819449,1030.40540246,199.893481358
16,"Douglas",4119664.31782,3206691724.77,160,"9",1199537048.6,152764.954751,1199.5370486,165.671626736
16,"Douglas",4119664.31782,3206691724.77,162,"4",926687937.451,127611.319587,926.687937451,348.508773994
16,"Douglas",4119664.31782,3206691724.77,165,"1",467148738.458,119546.721402,467.148738458,161.258054353
16,"Douglas",4119664.31782,3206691724.77,168,"1M",138955119.893,98829.8956566,138.955119893,31.9300809735
16,"Douglas",4119664.31782,3206691724.77,169,"2",1754293042.89,205887.20619,1754.29304289,330.590816758
17,"Dunn",6808148.62895,1517064352.59,80,"59B",2946505599.75,244426.523505,2946.50559975,357.938638856
17,"Dunn",6808148.62895,1517064352.59,110,"22A",1307108897.24,183231.136635,1307.10889724,227.803182404
18,"Eau Claire",4677672.61021,1194005232.57,56,"59C",2211316878.01,240751.670185,2211.31687801,0.00198387187185
18,"Eau Claire",4677672.61021,1194005232.57,74,"58",1768649541.81,179674.73303,1768.64954181,173.293727903
18,"Eau Claire",4677672.61021,1194005232.57,80,"59B",2946505599.75,244426.523505,2946.50559975,113.404753343
18,"Eau Claire",4677672.61021,1194005232.57,87,"59A",2182568875.66,265204.699788,2182.56887566,174.307532549
19,"Florence",1179079.87719,1236024815.85,147,"50",906694991.992,158119.159007,906.694991992,189.852653477
19,"Florence",1179079.87719,1236024815.85,148,"40",873046975.251,142251.974307,873.046975251,275.679874097
19,"Florence",1179079.87719,1236024815.85,150,"39",1134853117.69,159360.338944,1134.85311769,11.6452118405
20,"Fond du Lac",4028073.67362,555225933.561,27,"68B",1610783608.69,183473.25098,1610.78360869,0.0279189610938
20,"Fond du Lac",4028073.67362,555225933.561,38,"69",2627815138.36,226892.186357,2627.81513836,120.552855749
20,"Fond du Lac",4028073.67362,555225933.561,39,"68A",1476118162.41,188839.554721,1476.11816241,90.2005855943
20,"Fond du Lac",4028073.67362,555225933.561,48,"W",534171891.276,138787.881937,534.171891276,0.194821458371
20,"Fond du Lac",4028073.67362,555225933.561,49,"66",1547064055.87,188873.990221,1547.06405587,3.39774943407
21,"Forest",2193998.24874,2581276230.2,131,"43",1280417194.79,197110.833432,1280.41719479,33.155293608
21,"Forest",2193998.24874,2581276230.2,133,"44",1307239622.51,198721.269901,1307.23962251,219.20286131
21,"Forest",2193998.24874,2581276230.2,135,"45",1582867751.85,187793.233535,1582.86775185,217.993128064
21,"Forest",2193998.24874,2581276230.2,146,"38",1280511249.5,191377.322445,1280.5112495,58.4911276206
21,"Forest",2193998.24874,2581276230.2,147,"50",906694991.992,158119.159007,906.694991992,2.2433486008
21,"Forest",2193998.24874,2581276230.2,148,"40",873046975.251,142251.974307,873.046975251,52.1852171517
21,"Forest",2193998.24874,2581276230.2,150,"39",1134853117.69,159360.338944,1134.85311769,397.213347082
21,"Forest",2193998.24874,2581276230.2,157,"35",1056297401.23,199589.452103,1056.29740123,16.1359189678
22,"Grant",7330495.82404,1417197915.3,2,"75D-CWD",1409782004.94,195816.835181,1409.78200494,1.48738662663
22,"Grant",7330495.82404,1417197915.3,6,"73B-CWD",416744494.383,91874.6047533,416.744494383,53.5786359146
22,"Grant",7330495.82404,1417197915.3,7,"73B",1406855507.98,189292.596043,1406.85550798,185.114405297
22,"Grant",7330495.82404,1417197915.3,8,"73A",17159944.2988,20780.1600623,17.1599442988,5.65346652233
22,"Grant",7330495.82404,1417197915.3,9,"75C-CWD",970350942.457,149712.62013,970.350942457,0.640595391298
22,"Grant",7330495.82404,1417197915.3,13,"73D",643929128.326,160997.007281,643.929128326,158.452412188
22,"Grant",7330495.82404,1417197915.3,15,"73E-CWD",1026305981.66,140330.474167,1026.30598166,140.206275288
22,"Grant",7330495.82404,1417197915.3,24,"74B",1553921317.23,191416.301685,1553.92131723,0.858957061184
22,"Grant",7330495.82404,1417197915.3,28,"71-CWD",2311267022.23,238075.732885,2311.26702223,1.05224008002
23,"Green",4210861.5439,465816991.01,3,"77A-CWD",1923118178.92,207951.922555,1923.11817892,0.017701511189
23,"Green",4210861.5439,465816991.01,4,"75A-CWD",1465014394.3,192315.53722,1465.0143943,120.65807723
23,"Green",4210861.5439,465816991.01,9,"75C-CWD",970350942.457,149712.62013,970.350942457,1.21879512865
23,"Green",4210861.5439,465816991.01,18,"76-CWD",2348901475.13,413916.927666,2348.90147513,57.9582242968
24,"Green Lake",2457695.77764,463844185.776,39,"68A",1476118162.41,188839.554721,1476.11816241,28.154272781
24,"Green Lake",2457695.77764,463844185.776,42,"67B",819352950.536,191136.937031,819.352950536,118.379357157
24,"Green Lake",2457695.77764,463844185.776,43,"67A",1247284290,181972.876692,1247.28429,25.9115726643
24,"Green Lake",2457695.77764,463844185.776,49,"66",1547064055.87,188873.990221,1547.06405587,6.64603877669
25,"Iowa",4841882.92368,1081753364.26,2,"75D-CWD",1409782004.94,195816.835181,1409.78200494,0.0262933186208
25,"Iowa",4841882.92368,1081753364.26,9,"75C-CWD",970350942.457,149712.62013,970.350942457,107.186348953
25,"Iowa",4841882.92368,1081753364.26,10,"70D-CWD",5282113.59183,10739.8001188,5.28211359183,1.75454061363
25,"Iowa",4841882.92368,1081753364.26,12,"70C-CWD",21282223.0381,23294.5953652,21.2822230381,7.02722073367
25,"Iowa",4841882.92368,1081753364.26,15,"73E-CWD",1026305981.66,140330.474167,1026.30598166,136.902047991
25,"Iowa",4841882.92368,1081753364.26,17,"70A-CWD",730715107.518,178896.500598,730.715107518,162.609870948
25,"Iowa",4841882.92368,1081753364.26,18,"76-CWD",2348901475.13,413916.927666,2348.90147513,0.826543864722
25,"Iowa",4841882.92368,1081753364.26,22,"70-CWD",1067610901.85,155259.146719,1067.61090185,0.878370762264
25,"Iowa",4841882.92368,1081753364.26,28,"71-CWD",2311267022.23,238075.732885,2311.26702223,0.456071815641
26,"Iron",2825891.1826,1922288339.91,154,"29B",726677720.346,127956.198663,726.677720346,65.6733541056
26,"Iron",2825891.1826,1922288339.91,156,"29A",709484583.569,145629.145725,709.484583569,102.210075961
26,"Iron",2825891.1826,1922288339.91,161,"34",793476506.321,168529.990443,793.476506321,118.828066805
26,"Iron",2825891.1826,1922288339.91,163,"28",1765337685.33,218003.33464,1765.33768533,446.397342722
26,"Iron",2825891.1826,1922288339.91,166,"7",500914130.526,122545.170477,500.914130526,9.02661907634
27,"Jackson",5655543.20064,2142628047.74,45,"59D",1485787695.79,220055.11387,1485.78769579,9.4484778929
27,"Jackson",5655543.20064,2142628047.74,46,"MCC",241746579.182,105193.50275,241.746579182,0.00723274899504
27,"Jackson",5655543.20064,2142628047.74,47,"72",1936950838.31,366070.658684,1936.95083831,16.4015336778
27,"Jackson",5655543.20064,2142628047.74,52,"56",954930917.441,176532.544883,954.930917441,4.00698680322
27,"Jackson",5655543.20064,2142628047.74,55,"55",1753386503.88,192265.003784,1753.38650388,432.4547737
27,"Jackson",5655543.20064,2142628047.74,56,"59C",2211316878.01,240751.670185,2211.31687801,358.462005931
27,"Jackson",5655543.20064,2142628047.74,74,"58",1768649541.81,179674.73303,1768.64954181,6.49230354089
28,"Jefferson",4010785.71735,509722373.974,11,"77C-CWD",1149475653.11,164052.759112,1149.47565311,17.1758601338
28,"Jefferson",4010785.71735,509722373.974,20,"76A-CWD",2412888729.76,214812.60301,2412.88872976,179.6290487
29,"Juneau",4831294.60116,1585248608.13,28,"71-CWD",2311267022.23,238075.732885,2311.26702223,6.23079656584
29,"Juneau",4831294.60116,1585248608.13,32,"54B-CWD",853812293.76,142780.050432,853.81229376,75.2257447532
29,"Juneau",4831294.60116,1585248608.13,33,"54C",369123185.482,96231.3603591,369.123185482,0.0029413744965
29,"Juneau",4831294.60116,1585248608.13,36,"54B",705992635.537,172630.495812,705.992635537,147.574876736
29,"Juneau",4831294.60116,1585248608.13,41,"54A",1649170374.06,201321.81192,1649.17037406,162.439205764
29,"Juneau",4831294.60116,1585248608.13,47,"72",1936950838.31,366070.658684,1936.95083831,2.32374286599
29,"Juneau",4831294.60116,1585248608.13,50,"53",1640737828.59,182239.025084,1640.73782859,80.7212667431
29,"Juneau",4831294.60116,1585248608.13,52,"56",954930917.441,176532.544883,954.930917441,137.210503144
29,"Juneau",4831294.60116,1585248608.13,55,"55",1753386503.88,192265.003784,1753.38650388,0.338831557508
30,"Kenosha",2359727.36863,239856410.978,5,"77B-CWD",1888091796.75,205263.914999,1888.09179675,71.4744439097
30,"Kenosha",2359727.36863,239856410.978,37,"77M",2836008527.8,461695.081656,2836.0085278,21.1243626821
31,"Kewaunee",1863445.69931,252609333.577,51,"64",2473880266.9,237296.740017,2473.8802669,0.00605213733585
31,"Kewaunee",1863445.69931,252609333.577,71,"80B",1470860036.43,195330.158989,1470.86003643,97.5226043718
32,"La Crosse",3322902.69147,828893532.641,34,"74A",828378052.66,146515.269582,828.37805266,5.9310521475
32,"La Crosse",3322902.69147,828893532.641,35,"59M",162096712.892,62343.1624798,162.096712892,43.4659885847
32,"La Crosse",3322902.69147,828893532.641,45,"59D",1485787695.79,220055.11387,1485.78769579,270.604206042
32,"La Crosse",3322902.69147,828893532.641,56,"59C",2211316878.01,240751.670185,2211.31687801,0.0245211878198
32,"La Crosse",3322902.69147,828893532.641,63,"61",3283644635.45,322795.545844,3283.64463545,0.0118142337604
33,"Lafayette",3500284.06488,378645469.022,0,"75D-CWD",139288.208383,1666.73572871,0.139288208383,0.0433152152261
33,"Lafayette",3500284.06488,378645469.022,1,"75B-CWD",17322579.6681,31672.2053535,17.3225796681,5.46975300892
33,"Lafayette",3500284.06488,378645469.022,2,"75D-CWD",1409782004.94,195816.835181,1409.78200494,110.922967301
33,"Lafayette",3500284.06488,378645469.022,4,"75A-CWD",1465014394.3,192315.53722,1465.0143943,24.7460180378
33,"Lafayette",3500284.06488,378645469.022,9,"75C-CWD",970350942.457,149712.62013,970.350942457,0.0211277718459
33,"Lafayette",3500284.06488,378645469.022,18,"76-CWD",2348901475.13,413916.927666,2348.90147513,4.99265159651
34,"Langlade",3389521.25713,1938853341.63,77,"47",902701995.532,170298.704475,902.701995532,11.8185478227
34,"Langlade",3389521.25713,1938853341.63,81,"48",947656206.128,134980.222166,947.656206128,0.0697503776814
34,"Langlade",3389521.25713,1938853341.63,89,"46",1110333984.17,173424.2585,1110.33398417,31.7251528449
34,"Langlade",3389521.25713,1938853341.63,127,"42",969103776.762,143824.064629,969.103776762,245.818761346
34,"Langlade",3389521.25713,1938853341.63,131,"43",1280417194.79,197110.833432,1280.41719479,334.488750502
34,"Langlade",3389521.25713,1938853341.63,132,"52",906751027.933,163758.349139,906.751027933,2.88322101718
34,"Langlade",3389521.25713,1938853341.63,133,"44",1307239622.51,198721.269901,1307.23962251,117.518622547
34,"Langlade",3389521.25713,1938853341.63,146,"38",1280511249.5,191377.322445,1280.5112495,4.27265394101
35,"Lincoln",4615080.92723,2064074468.11,88,"33",1257659151.99,182332.77536,1257.65915199,42.6339885803
35,"Lincoln",4615080.92723,2064074468.11,89,"46",1110333984.17,173424.2585,1110.33398417,27.8952897094
35,"Lincoln",4615080.92723,2064074468.11,90,"52A",5210.525171,333.017378739,0.005210525171,0.0018971341631
35,"Lincoln",4615080.92723,2064074468.11,91,"52A",14368.0733859,496.009714068,0.0143680733859,0.00471282278288
35,"Lincoln",4615080.92723,2064074468.11,93,"52A",1946.54831599,207.763181057,0.00194654831599,7.53207123995e-05
35,"Lincoln",4615080.92723,2064074468.11,95,"52A",79313.5721537,1470.84915671,0.0793135721537,0.0295239889689
35,"Lincoln",4615080.92723,2064074468.11,96,"52A",1295.88934753,136.775915008,0.00129588934753,6.74135081752e-05
35,"Lincoln",4615080.92723,2064074468.11,101,"52A",4006255.20105,12875.6720541,4.00625520105,1.22048672806
35,"Lincoln",4615080.92723,2064074468.11,127,"42",969103776.762,143824.064629,969.103776762,71.6505813767
35,"Lincoln",4615080.92723,2064074468.11,130,"32",1342326787.86,175315.921201,1342.32678786,363.246662691
35,"Lincoln",4615080.92723,2064074468.11,132,"52",906751027.933,163758.349139,906.751027933,278.458527017
35,"Lincoln",4615080.92723,2064074468.11,140,"37",706698773.471,124709.653304,706.698773471,1.95211836575
35,"Lincoln",4615080.92723,2064074468.11,145,"31",1173631003.2,148121.513687,1173.6310032,6.56105311053
35,"Lincoln",4615080.92723,2064074468.11,146,"38",1280511249.5,191377.322445,1280.5112495,3.28862337317
36,"Manitowoc",3186175.35096,453269292.947,37,"77M",2836008527.8,461695.081656,2836.0085278,2.76995569975
36,"Manitowoc",3186175.35096,453269292.947,38,"69",2627815138.36,226892.186357,2627.81513836,15.5183182549
36,"Manitowoc",3186175.35096,453269292.947,51,"64",2473880266.9,237296.740017,2473.8802669,156.71987496
36,"Manitowoc",3186175.35096,453269292.947,71,"80B",1470860036.43,195330.158989,1470.86003643,2.00984008036e-05
37,"Marathon",10649952.693,2589955491.1,65,"57B",1204391636.48,162392.467226,1204.39163648,8.69827863011
37,"Marathon",10649952.693,2589955491.1,67,"62B",1348796989.62,164710.73096,1348.79698962,7.80797321723
37,"Marathon",10649952.693,2589955491.1,69,"62A",1356234756.95,169725.257316,1356.23475695,235.483653976
37,"Marathon",10649952.693,2589955491.1,72,"57D",5544482.02752,15221.2784549,5.54448202752,2.08077525887
37,"Marathon",10649952.693,2589955491.1,73,"57",923505349.784,139198.439248,923.505349784,138.006221326
37,"Marathon",10649952.693,2589955491.1,75,"57A",926932467.15,178103.764303,926.93246715,156.331181631
37,"Marathon",10649952.693,2589955491.1,84,"27",1269209432.91,165722.858676,1269.20943291,1.21937307078
37,"Marathon",10649952.693,2589955491.1,88,"33",1257659151.99,182332.77536,1257.65915199,204.363639765
37,"Marathon",10649952.693,2589955491.1,89,"46",1110333984.17,173424.2585,1110.33398417,245.9963089
38,"Marinette",5587437.53629,3281323365.75,78,"82",325932.159938,3054.80623465,0.325932159938,0.112522814298
38,"Marinette",5587437.53629,3281323365.75,83,"51B",1568840614.27,218537.131188,1568.84061427,125.59035302
38,"Marinette",5587437.53629,3281323365.75,119,"49A",638868546.191,110203.721652,638.868546191,63.0244360616
38,"Marinette",5587437.53629,3281323365.75,120,"51A",664172229.041,131035.401833,664.172229041,220.318882582
38,"Marinette",5587437.53629,3281323365.75,123,"49B",568227245.406,117192.450108,568.227245406,181.250770547
38,"Marinette",5587437.53629,3281323365.75,135,"45",1582867751.85,187793.233535,1582.86775185,339.942895801
