Date,Year,Month,Value,,
188702,1887,2,-1.9,,
188703,1887,3,-1.68,,
188704,1887,4,-1.76,,
188705,1887,5,-1.95,,
188706,1887,6,-0.59,,
188707,1887,7,-0.42,,
188708,1887,8,-1.05,,
188709,1887,9,-1.22,,
188710,1887,10,-0.47,,
188711,1887,11,-1.01,,
188712,1887,12,-1.29,,
188801,1888,1,-0.89,,
188802,1888,2,-0.48,,
188803,1888,3,-1.14,,
188804,1888,4,-0.99,,
188805,1888,5,0.98,,
188806,1888,6,1.96,,
188807,1888,7,1.94,,
188808,1888,8,0.85,,
188809,1888,9,1.07,,
188810,1888,10,0.95,,
188811,1888,11,0.45,,
188812,1888,12,0.52,,
188901,1889,1,0.33,,
188902,1889,2,0.06,,
188903,1889,3,-0.13,,
188904,1889,4,0.87,,
188905,1889,5,0.77,,
188906,1889,6,0.69,,
188907,1889,7,-0.19,,
188908,1889,8,-1.09,,
188909,1889,9,-0.31,,
188910,1889,10,0.41,,
188911,1889,11,1.38,,
188912,1889,12,0.08,,
189001,1890,1,-0.64,,
189002,1890,2,-0.69,,
189003,1890,3,-1.22,,
189004,1890,4,-0.53,,
189005,1890,5,-0.71,,
189006,1890,6,-1.88,,
189007,1890,7,-1.15,,
189008,1890,8,-0.78,,
189009,1890,9,-0.54,,
189010,1890,10,-0.37,,
189011,1890,11,-0.44,,
189012,1890,12,-0.35,,
189101,1891,1,-0.41,,
189102,1891,2,-0.65,,
189103,1891,3,-0.53,,
189104,1891,4,-0.93,,
189105,1891,5,-0.23,,
189106,1891,6,-0.52,,
189107,1891,7,-0.19,,
189108,1891,8,-0.36,,
189109,1891,9,-0.82,,
189110,1891,10,0.23,,
189111,1891,11,0.29,,
189112,1891,12,-0.17,,
189201,1892,1,-1.02,,
189202,1892,2,-0.8,,
189203,1892,3,-0.22,,
189204,1892,4,-0.88,,
189205,1892,5,-1.45,,
189206,1892,6,-1.45,,
189207,1892,7,-1.16,,
189208,1892,8,-1.68,,
189209,1892,9,-2.85,,
189210,1892,10,-1.95,,
189211,1892,11,-0.01,,
189212,1892,12,-0.34,,
189301,1893,1,-0.38,,
189302,1893,2,-0.1,,
189303,1893,3,-0.64,,
189304,1893,4,-1,,
189305,1893,5,-3.01,,
189306,1893,6,-2.5,,
189307,1893,7,-2.25,,
189308,1893,8,-1.98,,
189309,1893,9,-1.63,,
189310,1893,10,-2.02,,
189311,1893,11,-1.85,,
189312,1893,12,-2.03,,
189401,1894,1,-2.31,,
189402,1894,2,-3.64,,
189403,1894,3,-3.74,,
189404,1894,4,-4.25,,
189405,1894,5,-3.63,,
189406,1894,6,-2.26,,
189407,1894,7,-2.08,,
189408,1894,8,-2.65,,
189409,1894,9,-3.16,,
189410,1894,10,-3.73,,
189411,1894,11,-3.18,,
189412,1894,12,-1.55,,
189501,1895,1,-1.02,,
189502,1895,2,-0.39,,
189503,1895,3,0.25,,
189504,1895,4,-0.12,,
189505,1895,5,-0.16,,
189506,1895,6,0.18,,
189507,1895,7,0.92,,
189508,1895,8,0.27,,
189509,1895,9,-2.09,,
189510,1895,10,-1.81,,
189511,1895,11,-2.22,,
189512,1895,12,-2.02,,
189601,1896,1,-0.83,,
189602,1896,2,-0.32,,
189603,1896,3,-0.33,,
189604,1896,4,-0.84,,
189605,1896,5,-1.77,,
189606,1896,6,-1.95,,
189607,1896,7,-1.68,,
189608,1896,8,-1.58,,
189609,1896,9,1.67,,
189610,1896,10,1.14,,
189611,1896,11,1.18,,
189612,1896,12,-0.15,,
189701,1897,1,0.43,,
189702,1897,2,0.1,,
189703,1897,3,-0.19,,
189704,1897,4,0.08,,
189705,1897,5,-0.26,,
189706,1897,6,0.65,,
189707,1897,7,0.69,,
189708,1897,8,0.34,,
189709,1897,9,0.04,,
189710,1897,10,0.77,,
189711,1897,11,0.65,,
189712,1897,12,1.02,,
189801,1898,1,1.56,,
189802,1898,2,0.9,,
189803,1898,3,-0.54,,
189804,1898,4,1.06,,
189805,1898,5,1.44,,
189806,1898,6,0.88,,
189807,1898,7,-0.28,,
189808,1898,8,-0.28,,
189809,1898,9,-0.09,,
189810,1898,10,0.15,,
189811,1898,11,0.4,,
189812,1898,12,0.1,,
189901,1899,1,0.22,,
189902,1899,2,-0.41,,
189903,1899,3,-0.03,,
189904,1899,4,-0.36,,
189905,1899,5,-1.15,,
189906,1899,6,-1.47,,
189907,1899,7,-0.5,,
189908,1899,8,-0.08,,
189909,1899,9,-0.77,,
189910,1899,10,-0.67,,
189911,1899,11,-0.02,,
189912,1899,12,0.56,,
190001,1900,1,0.52,,
190002,1900,2,0.03,,
190003,1900,3,0.66,,
190004,1900,4,2.43,,
190005,1900,5,0.58,,
190006,1900,6,0.5,,
190007,1900,7,0.41,,
190008,1900,8,0.52,,
190009,1900,9,-0.2,,
190010,1900,10,0.11,,
190011,1900,11,0.14,,
190012,1900,12,0.3,,
190101,1901,1,0.77,,
190102,1901,2,0.65,,
190103,1901,3,0.19,,
190104,1901,4,-0.55,,
190105,1901,5,-0.98,,
190106,1901,6,-1.22,,
190107,1901,7,-1.34,,
190108,1901,8,0.09,,
190109,1901,9,0.31,,
190110,1901,10,0.15,,
190111,1901,11,-0.24,,
190112,1901,12,0.78,,
190201,1902,1,1.16,,
190202,1902,2,1.06,,
190203,1902,3,0.51,,
190204,1902,4,0.69,,
190205,1902,5,1.09,,
190206,1902,6,2.18,,
190207,1902,7,3.28,,
190208,1902,8,2.15,,
190209,1902,9,0.88,,
190210,1902,10,0.51,,
190211,1902,11,0.17,,
190212,1902,12,0.45,,
190301,1903,1,0.15,,
190302,1903,2,-0.12,,
190303,1903,3,-0.23,,
190304,1903,4,-1.49,,
190305,1903,5,-0.41,,
190306,1903,6,0.01,,
190307,1903,7,0.83,,
190308,1903,8,0.95,,
190309,1903,9,0.27,,
190310,1903,10,0.36,,
190311,1903,11,0.06,,
190312,1903,12,0.27,,
190401,1904,1,1.04,,
190402,1904,2,0.89,,
190403,1904,3,0.81,,
190404,1904,4,0.15,,
190405,1904,5,0.46,,
190406,1904,6,-0.43,,
190407,1904,7,-1.51,,
190408,1904,8,0.61,,
190409,1904,9,2.73,,
190410,1904,10,1.6,,
190411,1904,11,1.26,,
190412,1904,12,0.71,,
190501,1905,1,1.5,,
190502,1905,2,-0.04,,
190503,1905,3,1.12,,
190504,1905,4,1.88,,
190505,1905,5,1.57,,
190506,1905,6,1.71,,
190507,1905,7,1.54,,
190508,1905,8,2.23,,
190509,1905,9,1.48,,
190510,1905,10,-0.11,,
190511,1905,11,1.18,,
190512,1905,12,0.09,,
190601,1906,1,1.27,,
190602,1906,2,1.16,,
190603,1906,3,0.11,,
190604,1906,4,-0.48,,
190605,1906,5,0.87,,
190606,1906,6,0.96,,
190607,1906,7,0.79,,
190608,1906,8,0.68,,
190609,1906,9,0.54,,
190610,1906,10,1.3,,
190611,1906,11,0.96,,
190612,1906,12,-0.23,,
190701,1907,1,-0.56,,
190702,1907,2,-0.44,,
190703,1907,3,-2.29,,
190704,1907,4,-1.19,,
190705,1907,5,0.75,,
190706,1907,6,1,,
190707,1907,7,0.82,,
190708,1907,8,0.34,,
190709,1907,9,0.42,,
190710,1907,10,1.62,,
190711,1907,11,1.57,,
190712,1907,12,1.88,,
190801,1908,1,1.73,,
190802,1908,2,1.48,,
190803,1908,3,0.37,,
190804,1908,4,-0.18,,
190805,1908,5,-0.27,,
190806,1908,6,-0.2,,
190807,1908,7,-0.04,,
190808,1908,8,-0.03,,
190809,1908,9,0.26,,
190810,1908,10,0.61,,
190811,1908,11,1.52,,
190812,1908,12,1.22,,
190901,1909,1,0.44,,
190902,1909,2,0.45,,
190903,1909,3,0.71,,
190904,1909,4,0.12,,
190905,1909,5,-0.31,,
190906,1909,6,-0.22,,
190907,1909,7,-1.68,,
190908,1909,8,-2.25,,
190909,1909,9,-1.94,,
190910,1909,10,-0.13,,
190911,1909,11,-0.97,,
190912,1909,12,-2.29,,
191001,1910,1,-2.33,,
191002,1910,2,-1.11,,
191003,1910,3,-1.11,,
191004,1910,4,-2.57,,
191005,1910,5,-1.73,,
191006,1910,6,-0.18,,
191007,1910,7,-0.1,,
191008,1910,8,-1.12,,
191009,1910,9,0.5,,
191010,1910,10,-0.74,,
191011,1910,11,-0.62,,
191012,1910,12,0.44,,
191101,1911,1,-0.69,,
191102,1911,2,-1.43,,
191103,1911,3,-1.76,,
191104,1911,4,-0.82,,
191105,1911,5,-0.83,,
191106,1911,6,-0.82,,
191107,1911,7,0.49,,
191108,1911,8,0.65,,
191109,1911,9,-0.26,,
191110,1911,10,-0.17,,
191111,1911,11,-0.16,,
191112,1911,12,-1.21,,
191201,1912,1,-0.72,,
191202,1912,2,-0.45,,
191203,1912,3,-0.84,,
191204,1912,4,-0.62,,
191205,1912,5,-0.01,,
191206,1912,6,0.6,,
191207,1912,7,0.34,,
191208,1912,8,0.35,,
191209,1912,9,1.1,,
191210,1912,10,0.83,,
191211,1912,11,0.01,,
191212,1912,12,-0.1,,
191301,1913,1,-0.61,,
191302,1913,2,-0.33,,
191303,1913,3,-0.52,,
191304,1913,4,-0.93,,
191305,1913,5,0.01,,
191306,1913,6,0.24,,
191307,1913,7,1.03,,
191308,1913,8,1.22,,
191309,1913,9,0.75,,
191310,1913,10,0.32,,
191311,1913,11,0.26,,
191312,1913,12,-0.11,,
191401,1914,1,-0.37,,
191402,1914,2,-0.41,,
191403,1914,3,-0.21,,
191404,1914,4,0.74,,
191405,1914,5,0.27,,
191406,1914,6,-0.63,,
191407,1914,7,-0.87,,
191408,1914,8,-1.08,,
191409,1914,9,-1.21,,
191410,1914,10,-0.63,,
191411,1914,11,-0.24,,
191412,1914,12,-0.16,,
191501,1915,1,-0.72,,
191502,1915,2,-0.79,,
191503,1915,3,0.14,,
191504,1915,4,1.28,,
191505,1915,5,1.43,,
191506,1915,6,1.4,,
191507,1915,7,1.04,,
191508,1915,8,0.43,,
191509,1915,9,-0.16,,
191510,1915,10,-1.47,,
191511,1915,11,-1.52,,
191512,1915,12,-1.09,,
191601,1916,1,-1.83,,
191602,1916,2,-1.77,,
191603,1916,3,-1.46,,
191604,1916,4,-0.7,,
191605,1916,5,-0.49,,
191606,1916,6,-1.48,,
191607,1916,7,-1.45,,
191608,1916,8,-2.23,,
191609,1916,9,-2.16,,
191610,1916,10,-1.9,,
191611,1916,11,-2.57,,
191612,1916,12,-2.86,,
191701,1917,1,-2.08,,
191702,1917,2,-2.08,,
191703,1917,3,-2.16,,
191704,1917,4,-1.86,,
191705,1917,5,-1.19,,
191706,1917,6,-0.87,,
191707,1917,7,-0.76,,
191708,1917,8,-0.69,,
191709,1917,9,-1.3,,
191710,1917,10,-1.69,,
191711,1917,11,-1.07,,
191712,1917,12,-1.06,,
191801,1918,1,-0.13,,
191802,1918,2,-0.43,,
191803,1918,3,-0.96,,
191804,1918,4,-0.98,,
191805,1918,5,-1.17,,
191806,1918,6,-0.41,,
191807,1918,7,-0.05,,
191808,1918,8,0.39,,
191809,1918,9,0.68,,
191810,1918,10,1.51,,
191811,1918,11,1.3,,
191812,1918,12,0.39,,
191901,1919,1,0.47,,
191902,1919,2,0.04,,
191903,1919,3,-0.67,,
191904,1919,4,-0.53,,
191905,1919,5,-1.17,,
191906,1919,6,-1.31,,
191907,1919,7,-1.82,,
191908,1919,8,-1.03,,
191909,1919,9,-0.36,,
191910,1919,10,-0.7,,
191911,1919,11,-0.9,,
191912,1919,12,-0.62,,
192001,1920,1,-1.1,,
192002,1920,2,-0.99,,
192003,1920,3,-1.14,,
192004,1920,4,-1.56,,
192005,1920,5,-1.3,,
192006,1920,6,-1.18,,
192007,1920,7,-1.67,,
192008,1920,8,-2.38,,
192009,1920,9,-2.54,,
192010,1920,10,-1.67,,
192011,1920,11,-0.81,,
192012,1920,12,-0.59,,
192101,1921,1,-1.26,,
192102,1921,2,-1.61,,
192103,1921,3,-1.07,,
192104,1921,4,-1.74,,
192105,1921,5,-1.35,,
192106,1921,6,-0.79,,
192107,1921,7,-1.68,,
192108,1921,8,-2.01,,
192109,1921,9,-1.66,,
192110,1921,10,-1.75,,
192111,1921,11,-0.95,,
192112,1921,12,-0.25,,
192201,1922,1,-0.45,,
192202,1922,2,-1.51,,
192203,1922,3,-1.76,,
192204,1922,4,-1.71,,
192205,1922,5,-1.61,,
192206,1922,6,-1.11,,
192207,1922,7,-0.78,,
192208,1922,8,-0.74,,
192209,1922,9,-0.55,,
192210,1922,10,-0.55,,
192211,1922,11,-1.18,,
192212,1922,12,0.27,,
192301,1923,1,0.01,,
192302,1923,2,-0.95,,
192303,1923,3,-1.23,,
192304,1923,4,-0.64,,
192305,1923,5,-0.02,,
192306,1923,6,-0.96,,
192307,1923,7,0.49,,
192308,1923,8,-0.02,,
192309,1923,9,-0.26,,
192310,1923,10,0.22,,
192311,1923,11,-0.22,,
192312,1923,12,-0.32,,
192401,1924,1,-0.89,,
192402,1924,2,-0.82,,
192403,1924,3,-0.45,,
192404,1924,4,-1.05,,
192405,1924,5,-0.48,,
192406,1924,6,-0.32,,
192407,1924,7,-1.14,,
192408,1924,8,-1.44,,
192409,1924,9,-1.71,,
192410,1924,10,-2.23,,
192411,1924,11,-1.77,,
192412,1924,12,-0.59,,
192501,1925,1,-1.34,,
192502,1925,2,-0.9,,
192503,1925,3,-0.82,,
192504,1925,4,-1.05,,
192505,1925,5,-0.3,,
192506,1925,6,-1.09,,
192507,1925,7,-0.83,,
192508,1925,8,-0.85,,
192509,1925,9,0.08,,
192510,1925,10,0.16,,
192511,1925,11,0.51,,
192512,1925,12,0.46,,
192601,1926,1,0.88,,
192602,1926,2,1.2,,
192603,1926,3,1.09,,
192604,1926,4,1.73,,
192605,1926,5,2.18,,
192606,1926,6,1.79,,
192607,1926,7,2,,
192608,1926,8,1.54,,
192609,1926,9,1.39,,
192610,1926,10,1.54,,
192611,1926,11,2.26,,
192612,1926,12,1.65,,
192701,1927,1,0.68,,
192702,1927,2,1.2,,
192703,1927,3,0.73,,
192704,1927,4,-0.05,,
192705,1927,5,-0.06,,
192706,1927,6,0.52,,
192707,1927,7,-0.36,,
192708,1927,8,-0.76,,
192709,1927,9,-0.11,,
192710,1927,10,-0.75,,
192711,1927,11,-0.42,,
192712,1927,12,-0.32,,
192801,1928,1,0.31,,
192802,1928,2,0.58,,
192803,1928,3,0.78,,
192804,1928,4,0.4,,
192805,1928,5,0.6,,
192806,1928,6,1.09,,
192807,1928,7,-0.51,,
192808,1928,8,-0.89,,
192809,1928,9,-1.87,,
192810,1928,10,-1.19,,
192811,1928,11,0.01,,
192812,1928,12,0.55,,
192901,1929,1,0.5,,
192902,1929,2,0.09,,
192903,1929,3,-0.04,,
192904,1929,4,0.21,,
192905,1929,5,0.42,,
192906,1929,6,0.79,,
