Region,UnitGroup,Unit,DeerRangeOld,DeerRange2001,60_64,65_69,70_74,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
EastFrm,K,63B,252,252,9,17,27,15,23,,27,30,32,29,24,,20,,33,,16,,17,,17,13,32,22,32,14,28,24,35,32,23,31,21,28,28,27,37,28,25,33,15,32
EastFrm,K,64,328,243,10,19,23,19,27,,27,21,24,27,24,,23,,29,,9,,23,,20,16,28,29,29,36,38,37,36,40,29,40,32,40,43,36,32,37,38,33,40,39
EastFrm,K,64M,109,81,,,,,,,,,,,,,,,,,,,,,,,,,17,20,27,14,10,17,19,27,19,23,27,23,17,20,13,12,23,30
EastFrm,K,65A,177,172,20,34,35,29,40,,37,43,38,35,30,,37,,34,,18,,26,,37,40,40,23,35,31,25,32,47,28,34,32,34,28,29,30,32,45,28,22,20,31
EastFrm,K,65B,322,347,20,34,35,29,40,,37,43,38,35,30,,37,,22,,42,,27,,46,37,50,31,47,48,39,37,36,30,28,31,29,32,38,28,33,24,24,37,30,25
EastFrm,K,66,163,172,28,46,45,29,37,,37,36,41,42,40,,33,,25,,29,,29,,35,25,46,13,25,32,30,35,31,30,29,25,37,19,43,33,33,33,18,27,27,23
SouthFrm,N,67A,334,354,35,41,47,46,58,,59,69,40,38,29,,45,,42,,31,,26,,45,54,44,40,38,35,25,38,32,28,27,25,32,26,27,33,24,22,24,31,40,26
SouthFrm,N,67B,187,188,35,41,47,46,58,,59,69,40,38,29,,34,,43,,22,,28,,39,55,34,30,28,28,33,26,36,36,23,19,33,36,28,29,31,37,20,28,25,28
SouthFrm,N,68A,105,130,16,22,26,22,28,,25,27,18,36,37,,45,,39,,5,,10,,41,51,30,37,27,31,33,36,42,33,29,40,23,37,28,35,46,36,34,20,42,20
SouthFrm,N,68B,106,183,16,22,26,22,28,,25,27,18,36,37,,45,,39,,5,,10,,24,79,21,30,35,34,32,41,41,26,19,18,22,28,24,25,21,21,31,24,32,24
SouthFrm,N,69,391,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,22,26,23,22,25,29,29,27,28,26,30,29
SouthFrm,N,69A,305,,12,35,24,16,20,,21,24,24,30,23,,23,,24,,23,,19,,18,23,24,45,42,39,36,41,35,,,,,,,,,,,,,
SouthFrm,N,69B,158,,12,35,24,16,20,,21,24,24,30,23,,23,,24,,23,,19,,14,12,29,20,22,26,21,19,19,,,,,,,,,,,,,
SouthFrm,M,70,237,273,7,15,14,14,26,,29,30,28,31,30,,36,,40,,43,,25,,27,29,36,24,23,18,28,38,22,25,17,19,15,11,22,16,16,19,27,15,19,15
SouthFrm,M,70A,204,219,7,15,14,14,26,,29,30,28,31,30,,38,,31,,49,,12,,31,31,35,38,32,35,25,30,18,25,8,12,16,15,10,10,18,17,23,23,13,16
SouthFrm,N,70B,201,212,7,15,27,32,28,,25,38,33,37,33,,50,,40,,20,,14,,28,52,26,25,20,27,28,18,20,19,16,19,20,29,19,16,7,14,25,15,30,15
SouthFrm,N,70E,69,69,7,15,27,32,28,,25,47,78,57,61,,35,,35,,24,,18,,41,48,26,20,17,14,23,47,23,30,15,38,5,27,13,12,19,26,23,6,18,16
SouthFrm,N,70G,120,122,7,15,27,32,28,,25,38,33,37,33,,50,,40,,20,,1,,32,69,54,39,19,36,33,46,33,33,31,27,31,19,34,46,22,35,29,33,33,23
SouthFrm,M,71,539,626,7,6,11,10,22,,16,16,15,15,20,,21,,30,,19,,15,,18,21,29,24,19,24,21,21,21,19,14,13,11,12,13,13,11,15,16,17,17,16
WestFrm,M,72,446,504,5,7,14,9,20,,17,22,20,23,26,,29,,27,,16,,21,,22,28,35,30,26,31,25,24,25,22,17,16,16,22,17,25,18,16,22,21,22,21
SouthFrm,M,73,249,,12,12,12,8,11,,11,15,17,15,16,,26,,15,,30,,8,,18,17,15,21,27,21,19,,,,,,,,,,,,,,,
SouthFrm,M,73B,204,239,12,12,12,8,11,,11,15,17,15,16,,26,,18,,23,,11,,18,13,19,23,20,27,22,29,29,20,14,17,9,20,19,26,25,29,35,26,20,21
SouthFrm,M,73C,171,,12,12,12,8,11,,11,15,17,15,16,,26,,25,,32,,17,,17,22,34,32,20,34,21,,,,,,,,,,,,,,,
SouthFrm,M,73D,157,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,11,22,13,10,21,13,7,10,13,23,18,15,21,8
SouthFrm,M,73E,275,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,15,16,15,11,10,6,10,10,22,9,10,13,15,15
SouthFrm,M,74A,148,200,5,11,12,6,10,,13,13,15,7,13,,10,,25,,10,,8,,4,19,10,10,21,9,20,24,24,14,15,20,19,15,16,15,10,11,15,19,14,16
SouthFrm,M,74B,373,432,5,11,13,8,14,,19,13,17,19,20,,15,,16,,17,,11,,6,10,9,11,11,11,10,17,14,13,13,9,12,18,16,13,10,17,15,11,14,14
SouthFrm,M,75,215,,4,7,15,11,14,,17,17,21,21,22,,20,,23,,36,,15,,23,21,27,32,22,20,22,,,,,,,,,,,,,,,
SouthFrm,M,75A,259,146,4,7,15,11,14,,17,17,21,21,22,,20,,14,,19,,10,,16,10,20,20,19,16,19,19,13,21,12,9,17,24,19,19,37,25,28,21,33,18
SouthFrm,M,75C,118,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,30,22,12,8,20,10,14,13,8,9,16,16,23,24
SouthFrm,M,75D,97,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,21,22,18,24,22,17,17,22,17,29,21,27,18,23
SouthFrm,N,76,280,320,10,15,37,20,49,,43,27,23,30,31,,33,,12,,16,,7,,3,17,17,18,17,19,14,14,15,21,8,12,10,12,11,8,12,11,15,9,15,14
SouthFrm,N,76A,271,305,10,15,37,20,49,,43,27,23,30,31,,33,,16,,24,,20,,23,31,18,32,27,26,23,27,32,22,19,22,18,22,18,21,26,17,23,26,27,21
SouthFrm,N,76M,56,78,,,,,,,,,,,,,,,,,,,,,12,25,19,27,19,13,9,15,6,11,6,10,2,5,11,13,6,15,9,3,5,13
SouthFrm,N,77A,178,123,5,11,17,14,12,,20,18,19,18,17,,21,,6,,16,,9,,14,39,19,24,16,14,18,16,11,23,20,13,13,18,17,13,14,29,23,16,23,17
SouthFrm,N,77B,127,216,5,11,13,7,12,,8,15,18,19,14,,26,,11,,5,,11,,26,12,22,28,15,7,10,21,21,10,7,9,12,10,6,3,9,12,7,5,3,8
SouthFrm,N,77C,275,322,5,11,15,11,12,,14,17,19,19,16,,23,,21,,18,,16,,14,13,19,18,21,15,12,13,19,11,8,12,17,23,23,18,21,18,21,17,24,21
SouthFrm,N,77M,174,312,0,0,0,0,0,,0,0,0,0,0,,0,,0,,0,,0,,2,5,7,2,2,4,3,1,5,7,6,6,8,7,6,7,9,6,13,8,7,8
NorthFor,A,78,22,22,0,0,0,0,0,,0,0,0,0,0,,10,,0,,20,,12,,18,8,,,,,,,35,,,,,,,,,,,,,
EastFrm,K,80A,162,152,0,0,16,10,17,,16,20,18,25,24,,27,,9,,5,,13,,20,6,18,17,13,3,9,11,14,14,11,14,12,18,13,16,11,12,13,11,9,15
EastFrm,K,80B,260,194,0,0,16,10,17,,16,20,18,25,24,,27,,9,,5,,13,,22,13,28,23,17,31,30,30,25,36,35,30,36,30,34,33,33,39,37,26,40,33
EastFrm,K,81,21,18,0,0,27,34,34,,11,10,32,5,27,,16,,27,,11,,6,,51,14,,,,,,,22,,,,,,,,,,,,,
