County,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Milwaukee,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.04,0.03,0.03,0.02
Monroe,0.49,0.64,0.71,0.5,0.71,0.65,0.59,0.55,0.44,0.54,0.5,0.53,0.52,0.5,0.54,0.74,0.69,0.57,0.49,0.62,0.52,0.49,0.42,0.54,0.53,0.45,0.45,0.51,0.55
Oconto,0.85,0.88,0.84,0.98,0.94,1.01,1.46,1.27,0.27,0.2,0.16,0.23,0.14,0.21,0.17,0.16,0.17,0.13,0.11,0.13,0.12,0.1,0.12,0.16,0.08,0.06,0.05,0.06,0.03
Oneida,0.43,0.41,0.28,0.24,0.18,0.23,0.22,0.29,0.21,0.33,0.44,0.6,0.55,0.53,0.56,0.53,0.43,0.45,0.53,0.53,0.55,0.53,0.47,0.44,0.38,0.41,0.44,0.42,0.72
Outagamie,0.22,0.23,0.25,0.21,0.27,0.33,0.35,0.32,0.31,0.27,0.29,0.32,0.3,0.34,0.31,0.37,0.32,0.26,0.27,0.26,0.29,0.29,0.42,0.44,0.47,0.47,0.47,0.48,0.40
Ozaukee,0.21,0.23,0.3,0.4,0.34,0.37,0.38,0.37,0.36,0.25,0.23,0.27,0.24,0.22,0.24,0.3,0.25,0.23,0.23,0.2,0.18,0.17,0.17,0.21,0.21,0.34,0.33,0.37,0.38
Pepin,0.76,1.44,1.69,1.28,1.13,1.46,0.83,0.56,0.39,0.48,0.39,0.56,0.61,0.88,0.9,0.59,0.47,0.68,0.9,0.56,0.62,0.92,0.69,0.45,0.39,0.33,0.43,0.62,0.64
Pierce,0.44,0.7,0.71,0.34,0.61,0.65,0.74,0.62,0.45,0.67,0.6,0.65,0.59,0.79,0.85,0.79,0.05,0.07,0.07,0.05,0.08,0.07,0.07,0.1,0.07,0.06,0.06,0.07,0.06
Polk,0.4,0.59,0.65,0.43,0.47,0.39,0.43,0.32,0.24,0.24,0.2,0.17,0.2,0.19,0.2,0.14,0.12,0.11,0.11,0.15,0.13,0.1,0.12,0.13,0.16,0.21,0.22,0.23,0.33
Portage,0.74,0.89,0.9,0.93,0.97,0.86,1.06,1.13,0.93,0.92,0.98,0.92,0.88,0.74,0.67,0.77,0.72,0.68,0.59,0.51,0.42,0.46,0.46,0.48,0.44,0.32,0.35,0.24,0.26
Price,0.37,0.29,0.35,0.31,0.26,0.28,0.29,0.31,0.22,0.24,0.23,0.32,0.34,0.35,0.25,0.26,0.12,0.14,0.08,0.18,0.14,0.16,0.18,0.16,0.12,0.12,0.11,0.15,0.29
Racine,0.09,0.1,0.09,0.09,0.12,0.12,0.13,0.09,0.1,0.09,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.09,0.07,0.09,0.1,0.1,0.12,0.14,0.11
Richland,1.4,1.42,1.7,1.14,1.15,1.34,1.4,1.42,1.04,0.72,0.81,0.94,1.13,0.92,1.11,1.4,1.33,1.16,1.13,1.31,0.88,0.76,0.8,0.71,0.73,0.77,0.79,0.93,0.91
Rock,0.21,0.22,0.24,0.29,0.33,0.38,0.38,0.36,0.35,0.29,0.3,0.29,0.28,0.28,0.28,0.32,0.06,0.05,0.05,0.05,0.04,0.04,0.05,0.05,0.05,0.05,0.07,0.05,0.04
Rusk,0.14,0.11,0.27,0.15,0.24,0.21,0.2,0.15,0.06,0.09,0.09,0.11,0.09,0.09,0.17,0.1,0.13,0.12,0.14,0.12,0.2,0.27,0.19,0.23,0.29,0.22,0.22,0.17,0.30
St. Croix,0.51,0.59,0.73,0.45,0.63,0.52,0.55,0.61,0.46,0.45,0.44,0.53,0.48,0.51,0.59,0.7,0.59,0.6,0.65,0.59,0.52,0.53,0.5,0.56,0.59,0.48,0.49,0.56,0.54
